"","Zip","Rent","Beds","Baths","Available","Size"
"2092","02130",2650,"4","1","Sep","Small"
"715","02215",2800,"2","1","Sep","Small"
"2138","02120",4600,"4","2","Sep","Average"
"357","02132",1995,"1","1","Now","Large"
"966","02127",2750,"2","1","Now","Average"
"1749","02130",3200,"3","1","Sep","Average"
"1711","02135",2700,"3","1","Sep","Average"
"719","02121",2385,"2","1","Sep","Large"
"2227","02119",3475,"4","1.5","Sep","Large"
"83","02115",3600,"1","1","Now","Average"
"1145","02128",2400,"2","1","May","Average"
"1217","02120",3450,"3","1","Sep","Small"
"96","02127",2150,"1","1","Jul","Average"
"962","02109",3800,"2","1","Jun","Large"
"641","02120",3585,"2","2","Sep","Large"
"485","02215",2400,"1","1","Sep","Average"
"320","02215",2100,"1","1","Now","Small"
"2150","02120",4900,"5","2","Sep","Small"
"671","02108",5000,"2","2","Now","Large"
"2169","02130",3400,"4","2","Now","Average"
"1099","02215",3400,"2","2","Sep","Average"
"103","02116",2950,"1","1","Now","Average"
"338","02113",2200,"1","1","Jun","Small"
"1587","02126",2695,"3","2","Now","Average"
"2282","02135",3875,"5","2","Sep","Small"
"1661","02135",2650,"3","1","Sep","Average"
"1672","02120",4000,"3","2","Now","Average"
"892","02215",2800,"2","1","Sep","Small"
"1240","02135",2550,"3","2","Now","Average"
"495","02128",1700,"1","1","Sep","Average"
"212","02128",2340,"1","1","Now","Average"
"1794","02119",2500,"3","1","Sep","Average"
"870","02115",3000,"2","1","Sep","Small"
"680","02116",3450,"2","1","May","Large"
"273","02116",2750,"1","1","Jun","Average"
"879","02127",3050,"2","1","Sep","Small"
"2293","02125",4000,"5","2","Sep","Average"
"1329","02130",2750,"3","1","Sep","Average"
"1795","02130",3400,"3","2","Now","Average"
"39","02135",1800,"1","1","Now","Average"
"1068","02115",3200,"2","1","Sep","Small"
"940","02135",1995,"2","1","May","Average"
"317","02215",4595,"1","1","Now","Large"
"1561","02128",2500,"3","1","May","Average"
"2433","02128",4200,"4","2","Sep","Large"
"140","02119",2375,"1","1","Sep","Large"
"1697","02130",3000,"3","1.5","Now","Average"
"1484","02111",2700,"3","1","Sep","Small"
"112","02135",2411,"1","1","Now","Small"
"469","02130",2000,"1","1","Sep","Average"
"1522","02125",2700,"3","2","Now","Average"
"2287","02120",4600,"4","2","Sep","Average"
"1559","02125",3200,"3","1.5","Aug","Large"
"354","02135",1775,"1","1","Now","Small"
"1021","02131",2150,"2","1.5","Jun","Large"
"957","02116",2895,"2","1","Jul","Small"
"2295","02135",3600,"4","2","Sep","Average"
"470","02118",2500,"1","1","Now","Average"
"1567","02130",3000,"3","1","Sep","Average"
"1620","02134",2900,"3","1","Sep","Large"
"2198","02122",3800,"5","2","Sep","Small"
"2275","02128",3300,"4","1","Sep","Average"
"251","02135",1850,"1","1","Sep","Large"
"113","02128",1800,"1","1","Now","Average"
"518","02215",1800,"1","1","Now","Small"
"819","02119",2600,"2","1","Sep","Average"
"1603","02125",2700,"3","1","Sep","Average"
"1230","02134",2700,"3","1","Sep","Average"
"52","02215",2100,"1","1","Now","Small"
"1281","02130",2650,"3","1","Sep","Average"
"2102","02125",2800,"4","1","Sep","Average"
"123","02127",1650,"1","1","Now","Average"
"988","02127",3550,"2","2","Jun","Large"
"195","02135",1775,"1","1","Jun","Average"
"778","02115",4200,"2","1","Now","Large"
"2396","02120",7250,"6","2","Sep","Average"
"1932","02125",3500,"5","2","Sep","Average"
"305","02127",2600,"1","1","May","Average"
"617","02113",3500,"2","1","Sep","Average"
"203","02115",2595,"1","1","Sep","Small"
"574","02115",2500,"1","1","Sep","Average"
"767","02130",2100,"2","1","May","Average"
"1958","02135",5000,"6","3.5","Sep","Average"
"795","02130",2300,"2","1","Now","Average"
"1916","02124",2800,"4","2","Now","Average"
"1183","02115",2550,"2","1","Now","Small"
"506","02116",2250,"1","1","Jun","Small"
"38","02115",1950,"1","1","Sep","Large"
"31","02135",1850,"1","1","Sep","Large"
"2254","02128",3050,"4","1","Now","Average"
"487","02128",1600,"1","1","Now","Average"
"758","02124",1600,"2","1","May","Average"
"1429","02121",3850,"3","3.5","Sep","Large"
"2214","02134",3500,"5","1","Sep","Large"
"87","02118",2995,"1","1","Now","Average"
"1402","02130",2600,"3","1","Sep","Average"
"1395","02127",4800,"3","1.5","Now","Large"
"1874","02119",3500,"4","2","Sep","Large"
"1397","02129",3400,"3","1","Jun","Average"
"733","02210",5700,"2","2","Now","Large"
"1367","02135",3150,"3","1","Sep","Large"
"2413","02128",2950,"4","1","Sep","Average"
"800","02215",2300,"2","1","Sep","Small"
"850","02134",1995,"2","1","Now","Average"
"1633","02130",2775,"3","1","Now","Average"
"42","02115",2500,"1","1","Sep","Small"
"1051","02129",3000,"2","1","May","Average"
"1934","02125",2900,"4","2","Now","Average"
"1116","02118",3400,"2","1.5","Now","Average"
"883","02134",2450,"2","1","Now","Average"
"230","02111",3228,"1","1","Jun","Average"
"1277","02114",4100,"3","1","Sep","Small"
"2135","02120",5800,"5","2","Sep","Average"
"756","02125",2600,"2","1","Now","Average"
"1741","02113",3285,"3","1","Sep","Average"
"681","02111",4117,"2","2","Now","Large"
"311","02111",2950,"1","1","Now","Average"
"241","02118",3000,"1","1","Now","Average"
"1681","02125",2900,"3","2","Sep","Small"
"346","02113",2230,"1","1","Sep","Average"
"1387","02215",4460,"3","1","Sep","Average"
"162","02129",2663,"1","1","Now","Average"
"868","02135",1800,"2","1","Now","Small"
"2353","02125",3195,"5","1","Sep","Small"
